,cong_position,Retweets,Likes,Incivility,posemo,negemo,anx,anger,sad,is_policy,CAP_Policy,weighted_pol,cat,year,group_status
0,D,4,1,0.07625044,4.35,0.0,0.0,0.0,0.0,1,P3,-0.7992122048590776,,2007,NA
1,D,5,6,0.120025866,8.33,0.0,0.0,0.0,0.0,0,P0,-0.59409969509794,Democrat In-Group,2007,InGroup
2,R,0,0,0.19975464,0.0,5.26,0.0,0.0,5.26,1,P1,,,2007,NA
3,R,0,0,0.059049655,8.7,0.0,0.0,0.0,0.0,1,P15,,,2007,NA
4,D,0,0,0.068392254,0.0,0.0,0.0,0.0,0.0,1,P15,,,2008,NA
5,D,0,0,0.10200619,0.0,0.0,0.0,0.0,0.0,1,P16,,Democrat In-Group,2008,InGroup
6,D,0,0,0.049518954,0.0,0.0,0.0,0.0,0.0,0,P3,,,2008,NA
7,D,0,0,0.19682048,0.0,0.0,0.0,0.0,0.0,0,P0,,Democrat In-Group,2008,InGroup
8,D,0,0,0.031355154,8.33,0.0,0.0,0.0,0.0,0,P12,,Democrat In-Group,2008,InGroup
9,D,0,0,0.0745531,4.76,0.0,0.0,0.0,0.0,1,P6,,Democrat In-Group,2008,InGroup
10,D,0,0,0.11460244,3.85,0.0,0.0,0.0,0.0,1,P8,,,2008,NA
11,D,0,0,0.21050784,0.0,0.0,0.0,0.0,0.0,1,P15,,,2008,NA
12,D,0,0,0.060703762,4.17,0.0,0.0,0.0,0.0,1,P1,,,2008,NA
13,D,0,0,0.016675288,9.09,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
14,D,0,0,0.1678509,6.25,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
15,D,0,0,0.06407797,0.0,0.0,0.0,0.0,0.0,0,P12,,,2008,NA
16,D,0,0,0.06444368,9.09,0.0,0.0,0.0,0.0,1,P10,,,2008,NA
17,D,0,0,0.043104604,11.11,0.0,0.0,0.0,0.0,1,P10,,,2008,NA
18,D,0,0,0.119747125,0.0,0.0,0.0,0.0,0.0,1,P15,,,2008,NA
19,D,0,0,0.056341577,0.0,0.0,0.0,0.0,0.0,1,P1,,,2008,NA
20,D,0,0,0.1446149,0.0,0.0,0.0,0.0,0.0,1,P1,,,2008,NA
21,D,0,0,0.097816005,0.0,0.0,0.0,0.0,0.0,0,P2,,,2008,NA
22,D,0,0,0.57913405,12.0,8.0,4.0,0.0,4.0,0,P19,,,2008,NA
23,D,0,0,0.054563016,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
24,D,0,0,0.0856241,4.55,0.0,0.0,0.0,0.0,0,P0,,Democrat In-Group,2008,InGroup
25,D,0,0,0.12179275,4.35,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
26,D,0,0,0.061590545,0.0,0.0,0.0,0.0,0.0,0,P0,,Democrat In-Group,2008,InGroup
27,D,0,0,0.06893879,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
28,D,0,1,0.068252325,9.09,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
29,D,0,0,0.1200093,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
30,D,0,0,0.06562092,12.5,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
31,D,0,0,0.13986342,0.0,0.0,0.0,0.0,0.0,0,P0,,Democrat In-Group,2008,InGroup
32,D,1,0,0.103449695,0.0,0.0,0.0,0.0,0.0,0,P2,,,2008,NA
33,D,0,0,0.063320346,0.0,0.0,0.0,0.0,0.0,0,P0,,Democrat In-Group,2008,InGroup
34,D,0,0,0.05891877,4.76,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
35,D,0,0,0.12274388,4.76,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
36,D,0,0,0.09856648,0.0,0.0,0.0,0.0,0.0,1,P19,,Democrat In-Group,2008,InGroup
37,D,0,0,0.04504973,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
38,D,0,0,0.058943305,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
39,D,0,0,0.1230643,8.7,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
40,D,2,2,0.06858929,3.85,0.0,0.0,0.0,0.0,0,P0,-1.109375,,2008,NA
41,D,0,0,0.14820738,0.0,0.0,0.0,0.0,0.0,1,P11,,Democrat Out-Group,2008,OutGroup
42,D,0,0,0.21803252,8.7,4.35,0.0,4.35,0.0,1,P11,,,2008,NA
43,D,0,0,0.077985644,0.0,0.0,0.0,0.0,0.0,1,P15,,,2008,NA
44,D,0,0,0.024530727,28.57,0.0,0.0,0.0,0.0,1,P12,,,2008,NA
45,D,0,0,0.0735386,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
46,D,0,0,0.05038477,6.67,0.0,0.0,0.0,0.0,1,P2,,,2008,NA
47,D,0,0,0.07106536,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
48,D,0,0,0.06784193,13.64,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
49,D,0,0,0.10535698,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
50,D,0,0,0.08898738,12.5,0.0,0.0,0.0,0.0,0,P19,,,2008,NA
51,D,0,0,0.032018963,0.0,0.0,0.0,0.0,0.0,1,P10,,,2008,NA
52,D,0,0,0.120488845,0.0,0.0,0.0,0.0,0.0,0,P19,,,2008,NA
53,D,0,1,0.06956172,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
54,D,0,1,0.04425443,0.0,0.0,0.0,0.0,0.0,1,P5,,,2008,NA
55,D,0,0,0.1209367,0.0,0.0,0.0,0.0,0.0,0,P13,,,2008,NA
56,D,0,0,0.07266431,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
57,D,0,0,0.117297895,5.56,0.0,0.0,0.0,0.0,1,P3,,,2008,NA
58,D,0,0,0.0202446,0.0,0.0,0.0,0.0,0.0,1,P14,,,2008,NA
59,D,0,0,0.07182892,5.26,0.0,0.0,0.0,0.0,1,P12,,,2008,NA
60,D,0,0,0.029507853,5.26,0.0,0.0,0.0,0.0,1,P14,,,2008,NA
61,D,0,0,0.10290849,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
62,D,0,0,0.20347208,0.0,0.0,0.0,0.0,0.0,0,P0,,Democrat In-Group,2008,InGroup
63,D,0,0,0.05705128,0.0,4.0,0.0,0.0,4.0,1,P5,,,2008,NA
64,D,0,0,0.14079894,0.0,0.0,0.0,0.0,0.0,1,P10,,,2008,NA
65,D,0,0,0.046846427,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
66,D,0,0,0.11851258,16.67,0.0,0.0,0.0,0.0,1,P1,,Democrat Out-Group,2008,OutGroup
67,D,0,0,0.09691094,0.0,0.0,0.0,0.0,0.0,0,P15,,Democrat In-Group,2008,InGroup
68,D,0,0,0.1641691,6.25,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
69,D,0,0,0.09214273,5.26,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
70,D,0,0,0.06981025,5.56,0.0,0.0,0.0,0.0,1,P13,,,2008,NA
71,D,0,0,0.03237329,0.0,0.0,0.0,0.0,0.0,1,P15,,,2008,NA
72,D,0,0,0.07788854,12.5,0.0,0.0,0.0,0.0,1,P15,,,2008,NA
73,D,0,0,0.073509395,4.55,0.0,0.0,0.0,0.0,0,P1,,Democrat In-Group,2008,InGroup
74,D,0,0,0.041780923,4.55,0.0,0.0,0.0,0.0,1,P5,,,2008,NA
75,D,0,0,0.07344361,0.0,0.0,0.0,0.0,0.0,1,P10,,,2008,NA
76,D,0,0,0.058934238,0.0,0.0,0.0,0.0,0.0,1,P10,,,2008,NA
77,D,0,0,0.052741516,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
78,D,0,0,0.11948082,6.67,6.67,0.0,6.67,0.0,1,P15,,,2008,NA
79,D,0,0,0.09942659,0.0,0.0,0.0,0.0,0.0,1,P11,,,2008,NA
80,D,0,0,0.040612448,7.14,0.0,0.0,0.0,0.0,0,P19,,,2008,NA
81,D,0,1,0.081792496,5.0,0.0,0.0,0.0,0.0,1,P14,,,2008,NA
82,D,0,0,0.49905333,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
83,D,0,0,0.11955112,0.0,0.0,0.0,0.0,0.0,1,P15,,,2008,NA
84,D,0,0,0.012514723,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
85,D,0,0,0.062031697,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
86,D,0,0,0.03511114,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
87,D,0,0,0.017854957,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
88,D,0,1,0.067699276,8.33,0.0,0.0,0.0,0.0,1,P13,,,2008,NA
89,D,0,0,0.12264932,5.0,0.0,0.0,0.0,0.0,1,P13,,,2008,NA
90,D,0,1,0.5680558,7.14,0.0,0.0,0.0,0.0,0,P0,,Democrat In-Group,2008,InGroup
91,D,0,0,0.07840422,0.0,0.0,0.0,0.0,0.0,1,P10,,,2008,NA
92,D,0,0,0.0715246,4.76,0.0,0.0,0.0,0.0,1,P12,,Democrat In-Group,2008,InGroup
93,D,0,0,0.10055455,0.0,0.0,0.0,0.0,0.0,0,P0,,Democrat In-Group,2008,InGroup
94,D,0,0,0.14734466,0.0,0.0,0.0,0.0,0.0,1,P10,,,2008,NA
95,D,0,0,0.065741174,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
96,D,0,0,0.1044255,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
97,D,0,0,0.041279014,0.0,0.0,0.0,0.0,0.0,1,P14,,,2008,NA
98,D,0,0,0.073256776,0.0,0.0,0.0,0.0,0.0,1,P1,,,2008,NA
99,D,0,0,0.07381191,4.76,0.0,0.0,0.0,0.0,0,P2,,Democrat In-Group,2008,InGroup
100,D,0,0,0.023591606,6.67,0.0,0.0,0.0,0.0,1,P1,,,2008,NA
101,D,0,0,0.06716728,0.0,0.0,0.0,0.0,0.0,0,P2,,,2008,NA
102,D,0,0,0.019112227,0.0,0.0,0.0,0.0,0.0,0,P3,,,2008,NA
103,D,0,0,0.024458226,0.0,0.0,0.0,0.0,0.0,1,P10,,,2008,NA
104,D,0,0,0.07128021,0.0,0.0,0.0,0.0,0.0,0,P0,,Democrat In-Group,2008,InGroup
105,D,0,0,0.08059937,0.0,0.0,0.0,0.0,0.0,1,P10,,,2008,NA
106,D,0,0,0.1422769,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
107,D,0,0,0.05999131,0.0,0.0,0.0,0.0,0.0,1,P10,,,2008,NA
108,D,0,0,0.12203449,0.0,0.0,0.0,0.0,0.0,1,P1,,Democrat In-Group,2008,InGroup
109,D,0,0,0.036903966,5.0,0.0,0.0,0.0,0.0,1,P6,,,2008,NA
110,D,0,0,0.120015025,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
111,D,0,0,0.039764956,0.0,4.55,0.0,0.0,0.0,0,P0,,,2008,NA
112,D,0,0,0.0636941,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
113,D,0,0,0.12673025,16.67,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
114,D,1,0,0.13881047,0.0,0.0,0.0,0.0,0.0,0,P0,,Democrat In-Group,2008,InGroup
115,D,0,0,0.07417586,0.0,0.0,0.0,0.0,0.0,0,P0,,Democrat In-Group,2008,InGroup
116,D,0,0,0.1004139,0.0,0.0,0.0,0.0,0.0,0,P0,,Democrat In-Group,2008,InGroup
117,D,0,0,0.06908815,0.0,5.26,0.0,5.26,0.0,1,P15,,,2008,NA
118,D,0,0,0.14064759,0.0,0.0,0.0,0.0,0.0,1,P10,,,2008,NA
119,D,0,0,0.09432543,4.17,0.0,0.0,0.0,0.0,1,P3,,,2008,NA
120,D,0,0,0.080271035,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
121,D,0,0,0.08282943,0.0,0.0,0.0,0.0,0.0,0,P19,,,2008,NA
122,D,0,0,0.068207644,8.33,0.0,0.0,0.0,0.0,1,P15,,,2008,NA
123,D,0,0,0.105079114,4.55,4.55,0.0,0.0,0.0,0,P0,,,2008,NA
124,D,0,0,0.050796077,7.14,0.0,0.0,0.0,0.0,1,P1,,,2008,NA
125,D,0,0,0.038555227,0.0,0.0,0.0,0.0,0.0,1,P6,,,2008,NA
126,D,0,0,0.068631366,6.25,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
127,D,0,0,0.0865998,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
128,D,0,0,0.06893879,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
129,D,0,0,0.19608806,11.76,5.88,0.0,0.0,0.0,1,P19,,,2008,NA
130,D,0,0,0.020435097,4.76,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
131,D,0,0,0.07214972,4.35,0.0,0.0,0.0,0.0,1,P14,,,2008,NA
132,D,0,0,0.025813747,0.0,0.0,0.0,0.0,0.0,1,P3,,,2008,NA
133,D,0,0,0.041694578,4.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
134,D,0,0,0.04587622,0.0,0.0,0.0,0.0,0.0,0,P0,,Democrat In-Group,2008,InGroup
135,D,1,0,0.033206854,0.0,0.0,0.0,0.0,0.0,1,P14,0.2883435582822086,,2008,NA
136,D,0,0,0.09817106,0.0,0.0,0.0,0.0,0.0,0,P19,,,2008,NA
137,D,0,0,0.10353596,4.17,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
138,D,0,0,0.069898926,6.25,0.0,0.0,0.0,0.0,0,P2,,,2008,NA
139,D,0,0,0.0534328,3.85,0.0,0.0,0.0,0.0,1,P1,,,2008,NA
140,D,0,0,0.07499913,4.35,0.0,0.0,0.0,0.0,1,P1,,,2008,NA
