,cong_position,Retweets,Likes,negemo,is_policy,CAP_Policy,Incivility,weighted_pol,cat
0,D,4,1,0.0,1,3,0.07625044,-0.7992122048590776,
1,D,5,6,0.0,0,0,0.120025866,-0.59409969509794,Democrat In-Group
2,R,0,0,5.26,1,1,0.19975464,,
3,R,0,0,0.0,1,15,0.059049655,,
4,D,0,0,0.0,1,15,0.068392254,,
5,D,0,0,0.0,1,16,0.10200619,,Democrat In-Group
6,D,0,0,0.0,0,3,0.049518954,,
7,D,0,0,0.0,0,0,0.19682048,,Democrat In-Group
8,D,0,0,0.0,0,12,0.031355154,,Democrat In-Group
9,D,0,0,0.0,1,6,0.0745531,,Democrat In-Group
10,D,0,0,0.0,1,8,0.11460244,,
11,D,0,0,0.0,1,15,0.21050784,,
12,D,0,0,0.0,1,1,0.060703762,,
13,D,0,0,0.0,0,0,0.016675288,,
14,D,0,0,0.0,0,0,0.1678509,,
15,D,0,0,0.0,0,12,0.06407797,,
16,D,0,0,0.0,1,10,0.06444368,,
17,D,0,0,0.0,1,10,0.043104604,,
18,D,0,0,0.0,1,15,0.119747125,,
19,D,0,0,0.0,1,1,0.056341577,,
20,D,0,0,0.0,1,1,0.1446149,,
21,D,0,0,0.0,0,2,0.097816005,,
22,D,0,0,8.0,0,19,0.57913405,,
23,D,0,0,0.0,0,0,0.054563016,,
24,D,0,0,0.0,0,0,0.0856241,,Democrat In-Group
25,D,0,0,0.0,0,0,0.12179275,,
26,D,0,0,0.0,0,0,0.061590545,,Democrat In-Group
27,D,0,0,0.0,0,0,0.06893879,,
28,D,0,1,0.0,0,0,0.068252325,,
29,D,0,0,0.0,0,0,0.1200093,,
30,D,0,0,0.0,0,0,0.06562092,,
31,D,0,0,0.0,0,0,0.13986342,,Democrat In-Group
32,D,1,0,0.0,0,2,0.103449695,,
33,D,0,0,0.0,0,0,0.063320346,,Democrat In-Group
34,D,0,0,0.0,0,0,0.05891877,,
35,D,0,0,0.0,0,0,0.12274388,,
36,D,0,0,0.0,1,19,0.09856648,,Democrat In-Group
37,D,0,0,0.0,0,0,0.04504973,,
38,D,0,0,0.0,0,0,0.058943305,,
39,D,0,0,0.0,0,0,0.1230643,,
40,D,2,2,0.0,0,0,0.06858929,-1.109375,
41,D,0,0,0.0,1,11,0.14820738,,Democrat Out-Group
42,D,0,0,4.35,1,11,0.21803252,,
43,D,0,0,0.0,1,15,0.077985644,,
44,D,0,0,0.0,1,12,0.024530727,,
45,D,0,0,0.0,0,0,0.0735386,,
46,D,0,0,0.0,1,2,0.05038477,,
47,D,0,0,0.0,0,0,0.07106536,,
48,D,0,0,0.0,0,0,0.06784193,,
49,D,0,0,0.0,0,0,0.10535698,,
50,D,0,0,0.0,0,19,0.08898738,,
51,D,0,0,0.0,1,10,0.032018963,,
52,D,0,0,0.0,0,19,0.120488845,,
53,D,0,1,0.0,0,0,0.06956172,,
54,D,0,1,0.0,1,5,0.04425443,,
55,D,0,0,0.0,0,13,0.1209367,,
56,D,0,0,0.0,0,0,0.07266431,,
57,D,0,0,0.0,1,3,0.117297895,,
