,rt_userid,cong_original_ID,overall,max_pol,weighted_pol,weighted_pol_binary,pol_count,congressperson,Incivility,cong_position,is_policy,CAP_Policy,cat
0,1294852,5242314229,0.24,-1.0,-0.6499999999999999,-0.5,20.0,AlanGrayson,0.23186295,D,0,15,
1,1203248,6604326639,0.13,0.0,-1.3877787807814457e-17,-0.03999999999999998,25.0,MittRomney,0.08382474,R,1,1,
2,1203734,6604326639,0.14,-1.0,-0.12,-0.20666666666666667,150.0,MittRomney,0.08382474,R,1,1,
3,1294852,9979886712,0.24,-1.0,-0.6499999999999999,-0.5,20.0,AlanGrayson,0.115923814,D,1,1,
4,1092554,9979886712,0.39,-2.0,-1.6666666666666667,-0.8888888888888888,27.0,AlanGrayson,0.115923814,D,1,1,
5,93292,9979886712,0.74,,,,,AlanGrayson,0.115923814,D,1,1,
6,1317151,9979886712,0.41,-1.0,-1.0490196078431373,-0.8366013071895425,306.0,AlanGrayson,0.115923814,D,1,1,
7,378771,9979886712,0.05,-1.0,-0.9514563106796117,-0.7184466019417476,103.0,AlanGrayson,0.115923814,D,1,1,
8,346018,9979886712,0.05,-1.0,-0.9387755102040817,-0.673469387755102,49.0,AlanGrayson,0.115923814,D,1,1,
9,525994,9979886712,0.01,-1.0,-0.7884615384615384,-0.5961538461538461,52.0,AlanGrayson,0.115923814,D,1,1,
10,1200826,9979886712,0.25,-1.0,-0.8571428571428572,-0.6428571428571429,140.0,AlanGrayson,0.115923814,D,1,1,
11,1156200,9979886712,0.25,-1.0,-1.0888888888888888,-0.7777777777777778,90.0,AlanGrayson,0.115923814,D,1,1,
12,1061787,9979886712,0.36,-1.0,-1.0576923076923077,-0.7884615384615385,52.0,AlanGrayson,0.115923814,D,1,1,
13,793857,9979886712,0.8,-1.0,-0.8,-0.6228571428571428,175.0,AlanGrayson,0.115923814,D,1,1,
14,1078244,9979886712,0.83,-1.0,-1.0862068965517242,-0.7413793103448276,116.0,AlanGrayson,0.115923814,D,1,1,
